image_filename,image_class
data\cats\cat.2966.jpg,cat
data\cats\cat.2579.jpg,cat
data\dogs\dog.2125.jpg,dog
data\dogs\dog.1464.jpg,dog
data\dogs\dog.2305.jpg,dog
data\dogs\dog.2003.jpg,dog
data\dogs\dog.2079.jpg,dog
data\dogs\dog.396.jpg,dog
data\dogs\dog.4180.jpg,dog
data\dogs\dog.3911.jpg,dog
data\dogs\dog.1421.jpg,dog
data\dogs\dog.3296.jpg,dog
data\dogs\dog.4655.jpg,dog
data\dogs\dog.3788.jpg,dog
data\cats\cat.2886.jpg,cat
data\dogs\dog.2471.jpg,dog
data\cats\cat.597.jpg,cat
data\dogs\dog.3334.jpg,dog
data\cats\cat.3529.jpg,cat
data\cats\cat.3238.jpg,cat
data\dogs\dog.1383.jpg,dog
data\dogs\dog.1090.jpg,dog
data\dogs\dog.331.jpg,dog
data\cats\cat.1976.jpg,cat
data\dogs\dog.4159.jpg,dog
data\dogs\dog.3563.jpg,dog
data\cats\cat.610.jpg,cat
data\dogs\dog.2784.jpg,dog
data\cats\cat.3006.jpg,cat
data\dogs\dog.1827.jpg,dog
data\cats\cat.3810.jpg,cat
data\cats\cat.985.jpg,cat
data\cats\cat.3356.jpg,cat
data\dogs\dog.2444.jpg,dog
data\cats\cat.2559.jpg,cat
data\cats\cat.1057.jpg,cat
data\dogs\dog.1916.jpg,dog
data\dogs\dog.3162.jpg,dog
data\dogs\dog.3098.jpg,dog
data\cats\cat.4560.jpg,cat
data\cats\cat.1890.jpg,cat
data\dogs\dog.3384.jpg,dog
data\cats\cat.2417.jpg,cat
data\dogs\dog.649.jpg,dog
data\dogs\dog.1219.jpg,dog
data\cats\cat.3738.jpg,cat
data\dogs\dog.4940.jpg,dog
data\dogs\dog.2231.jpg,dog
data\cats\cat.2345.jpg,cat
data\dogs\dog.1476.jpg,dog
data\dogs\dog.3011.jpg,dog
data\cats\cat.644.jpg,cat
data\cats\cat.432.jpg,cat
data\dogs\dog.1774.jpg,dog
data\cats\cat.2072.jpg,cat
data\cats\cat.3083.jpg,cat
data\dogs\dog.1830.jpg,dog
data\cats\cat.2040.jpg,cat
data\cats\cat.2954.jpg,cat
data\dogs\dog.1100.jpg,dog
data\dogs\dog.214.jpg,dog
data\dogs\dog.1542.jpg,dog
data\cats\cat.672.jpg,cat
data\cats\cat.3362.jpg,cat
data\dogs\dog.1591.jpg,dog
data\cats\cat.1253.jpg,cat
data\dogs\dog.1378.jpg,dog
data\cats\cat.2865.jpg,cat
data\dogs\dog.2705.jpg,dog
data\dogs\dog.3151.jpg,dog
data\dogs\dog.3697.jpg,dog
data\dogs\dog.2802.jpg,dog
data\cats\cat.2085.jpg,cat
data\cats\cat.4349.jpg,cat
data\cats\cat.759.jpg,cat
data\cats\cat.3519.jpg,cat
data\dogs\dog.603.jpg,dog
data\cats\cat.4733.jpg,cat
data\cats\cat.4661.jpg,cat
data\cats\cat.3558.jpg,cat
data\cats\cat.2621.jpg,cat
data\dogs\dog.245.jpg,dog
data\cats\cat.1884.jpg,cat
data\cats\cat.2766.jpg,cat
data\cats\cat.2548.jpg,cat
data\dogs\dog.957.jpg,dog
data\cats\cat.3411.jpg,cat
data\dogs\dog.4207.jpg,dog
data\dogs\dog.3003.jpg,dog
data\dogs\dog.840.jpg,dog
data\dogs\dog.3250.jpg,dog
data\cats\cat.1448.jpg,cat
data\cats\cat.4971.jpg,cat
data\cats\cat.1314.jpg,cat
data\cats\cat.3401.jpg,cat
data\cats\cat.2875.jpg,cat
data\dogs\dog.401.jpg,dog
data\cats\cat.1373.jpg,cat
data\cats\cat.2536.jpg,cat
data\dogs\dog.3480.jpg,dog
data\cats\cat.1077.jpg,cat
data\dogs\dog.391.jpg,dog
data\dogs\dog.3242.jpg,dog
data\dogs\dog.1033.jpg,dog
data\cats\cat.4864.jpg,cat
data\cats\cat.2641.jpg,cat
data\cats\cat.2415.jpg,cat
data\dogs\dog.2627.jpg,dog
data\cats\cat.2603.jpg,cat
data\cats\cat.1929.jpg,cat
data\cats\cat.536.jpg,cat
data\cats\cat.1070.jpg,cat
data\cats\cat.1867.jpg,cat
data\cats\cat.2699.jpg,cat
data\cats\cat.2437.jpg,cat
data\dogs\dog.70.jpg,dog
data\dogs\dog.1787.jpg,dog
data\dogs\dog.3975.jpg,dog
data\dogs\dog.1994.jpg,dog
data\dogs\dog.1036.jpg,dog
data\cats\cat.3378.jpg,cat
data\cats\cat.3203.jpg,cat
data\dogs\dog.2008.jpg,dog
data\dogs\dog.716.jpg,dog
data\dogs\dog.2978.jpg,dog
data\dogs\dog.3999.jpg,dog
data\cats\cat.3152.jpg,cat
data\cats\cat.842.jpg,cat
data\cats\cat.490.jpg,cat
data\dogs\dog.1087.jpg,dog
data\cats\cat.310.jpg,cat
data\cats\cat.126.jpg,cat
data\cats\cat.1965.jpg,cat
data\dogs\dog.4895.jpg,dog
data\dogs\dog.1861.jpg,dog
data\cats\cat.1188.jpg,cat
data\dogs\dog.3870.jpg,dog
data\dogs\dog.2852.jpg,dog
data\dogs\dog.1708.jpg,dog
data\cats\cat.3897.jpg,cat
data\dogs\dog.599.jpg,dog
data\cats\cat.2525.jpg,cat
data\cats\cat.4449.jpg,cat
data\cats\cat.63.jpg,cat
data\dogs\dog.3836.jpg,dog
data\cats\cat.370.jpg,cat
data\cats\cat.4676.jpg,cat
data\dogs\dog.757.jpg,dog
data\cats\cat.4794.jpg,cat
data\cats\cat.3486.jpg,cat
data\cats\cat.2022.jpg,cat
data\cats\cat.1999.jpg,cat
data\dogs\dog.3416.jpg,dog
data\cats\cat.3602.jpg,cat
data\dogs\dog.2440.jpg,dog
data\cats\cat.3782.jpg,cat
data\cats\cat.3334.jpg,cat
data\dogs\dog.4514.jpg,dog
data\dogs\dog.2370.jpg,dog
data\cats\cat.1691.jpg,cat
data\cats\cat.2726.jpg,cat
data\cats\cat.2593.jpg,cat
data\cats\cat.4916.jpg,cat
data\cats\cat.2199.jpg,cat
data\dogs\dog.2792.jpg,dog
data\cats\cat.2298.jpg,cat
data\cats\cat.1390.jpg,cat
data\cats\cat.2055.jpg,cat
data\cats\cat.171.jpg,cat
data\dogs\dog.2520.jpg,dog
data\cats\cat.4549.jpg,cat
data\cats\cat.1397.jpg,cat
data\dogs\dog.4942.jpg,dog
data\cats\cat.3220.jpg,cat
data\dogs\dog.733.jpg,dog
data\cats\cat.4468.jpg,cat
data\dogs\dog.3349.jpg,dog
data\dogs\dog.2352.jpg,dog
data\dogs\dog.4643.jpg,dog
data\cats\cat.3076.jpg,cat
data\dogs\dog.3892.jpg,dog
data\cats\cat.630.jpg,cat
data\cats\cat.1326.jpg,cat
data\dogs\dog.3833.jpg,dog
data\dogs\dog.2634.jpg,dog
data\cats\cat.2598.jpg,cat
data\cats\cat.4074.jpg,cat
data\cats\cat.909.jpg,cat
data\cats\cat.4647.jpg,cat
data\cats\cat.28.jpg,cat
data\dogs\dog.660.jpg,dog
data\dogs\dog.4261.jpg,dog
data\dogs\dog.3315.jpg,dog
data\dogs\dog.2428.jpg,dog
data\cats\cat.160.jpg,cat
data\cats\cat.4644.jpg,cat
data\cats\cat.403.jpg,cat
data\dogs\dog.3747.jpg,dog
data\dogs\dog.3838.jpg,dog
data\dogs\dog.2532.jpg,dog
data\dogs\dog.3487.jpg,dog
data\cats\cat.2795.jpg,cat
data\dogs\dog.1734.jpg,dog
data\dogs\dog.3207.jpg,dog
data\cats\cat.2683.jpg,cat
data\dogs\dog.2896.jpg,dog
data\dogs\dog.4785.jpg,dog
data\cats\cat.4747.jpg,cat
data\cats\cat.2803.jpg,cat
data\dogs\dog.345.jpg,dog
data\dogs\dog.3665.jpg,dog
data\dogs\dog.2980.jpg,dog
data\cats\cat.4217.jpg,cat
data\cats\cat.3870.jpg,cat
data\dogs\dog.324.jpg,dog
data\cats\cat.3895.jpg,cat
data\dogs\dog.2259.jpg,dog
data\cats\cat.3274.jpg,cat
data\dogs\dog.4264.jpg,dog
data\cats\cat.2979.jpg,cat
data\dogs\dog.1516.jpg,dog
data\cats\cat.1261.jpg,cat
data\cats\cat.2582.jpg,cat
data\cats\cat.1658.jpg,cat
data\dogs\dog.2502.jpg,dog
data\cats\cat.1753.jpg,cat
data\dogs\dog.4376.jpg,dog
data\dogs\dog.2214.jpg,dog
data\cats\cat.4414.jpg,cat
data\cats\cat.1323.jpg,cat
data\cats\cat.1180.jpg,cat
data\dogs\dog.2850.jpg,dog
data\cats\cat.1034.jpg,cat
data\cats\cat.4250.jpg,cat
data\dogs\dog.4378.jpg,dog
data\cats\cat.123.jpg,cat
data\dogs\dog.4066.jpg,dog
data\dogs\dog.1990.jpg,dog
data\cats\cat.4488.jpg,cat
data\dogs\dog.3430.jpg,dog
data\dogs\dog.1067.jpg,dog
data\cats\cat.2033.jpg,cat
data\dogs\dog.3826.jpg,dog
data\dogs\dog.2731.jpg,dog
data\cats\cat.78.jpg,cat
data\dogs\dog.488.jpg,dog
data\dogs\dog.4965.jpg,dog
data\cats\cat.3055.jpg,cat
data\cats\cat.4071.jpg,cat
data\dogs\dog.538.jpg,dog
data\cats\cat.1328.jpg,cat
data\dogs\dog.3543.jpg,dog
data\dogs\dog.1838.jpg,dog
data\dogs\dog.2207.jpg,dog
data\cats\cat.4929.jpg,cat
data\dogs\dog.1590.jpg,dog
data\cats\cat.2078.jpg,cat
data\dogs\dog.2810.jpg,dog
data\cats\cat.4650.jpg,cat
data\dogs\dog.1934.jpg,dog
data\cats\cat.3117.jpg,cat
data\dogs\dog.1897.jpg,dog
data\cats\cat.2070.jpg,cat
data\dogs\dog.1416.jpg,dog
data\dogs\dog.3725.jpg,dog
data\dogs\dog.607.jpg,dog
data\cats\cat.2701.jpg,cat
data\dogs\dog.2454.jpg,dog
data\cats\cat.156.jpg,cat
data\dogs\dog.2824.jpg,dog
data\dogs\dog.774.jpg,dog
data\dogs\dog.2449.jpg,dog
data\dogs\dog.4083.jpg,dog
data\cats\cat.4423.jpg,cat
data\cats\cat.2275.jpg,cat
data\cats\cat.3939.jpg,cat
data\dogs\dog.1532.jpg,dog
data\cats\cat.2524.jpg,cat
data\dogs\dog.2265.jpg,dog
data\cats\cat.1796.jpg,cat
data\cats\cat.833.jpg,cat
data\dogs\dog.1088.jpg,dog
data\cats\cat.1545.jpg,cat
data\cats\cat.3071.jpg,cat
data\cats\cat.2561.jpg,cat
data\dogs\dog.2389.jpg,dog
data\cats\cat.624.jpg,cat
data\cats\cat.255.jpg,cat
data\dogs\dog.1936.jpg,dog
data\dogs\dog.4068.jpg,dog
data\dogs\dog.2524.jpg,dog
data\cats\cat.4258.jpg,cat
data\dogs\dog.2426.jpg,dog
data\dogs\dog.3984.jpg,dog
data\cats\cat.2663.jpg,cat
data\cats\cat.4641.jpg,cat
data\cats\cat.3246.jpg,cat
data\dogs\dog.1282.jpg,dog
data\cats\cat.862.jpg,cat
data\dogs\dog.4712.jpg,dog
data\dogs\dog.3481.jpg,dog
data\cats\cat.2659.jpg,cat
data\cats\cat.3893.jpg,cat
data\dogs\dog.773.jpg,dog
data\cats\cat.3734.jpg,cat
data\cats\cat.298.jpg,cat
data\dogs\dog.4792.jpg,dog
data\dogs\dog.855.jpg,dog
data\cats\cat.4336.jpg,cat
data\cats\cat.1307.jpg,cat
data\dogs\dog.3150.jpg,dog
data\dogs\dog.1808.jpg,dog
data\cats\cat.2704.jpg,cat
data\cats\cat.2173.jpg,cat
data\dogs\dog.4037.jpg,dog
data\cats\cat.2567.jpg,cat
data\cats\cat.4399.jpg,cat
data\cats\cat.4207.jpg,cat
data\cats\cat.3122.jpg,cat
data\dogs\dog.4847.jpg,dog
data\dogs\dog.2481.jpg,dog
data\dogs\dog.4151.jpg,dog
data\cats\cat.4375.jpg,cat
data\cats\cat.4203.jpg,cat
data\cats\cat.1648.jpg,cat
data\dogs\dog.4642.jpg,dog
data\cats\cat.1062.jpg,cat
data\cats\cat.351.jpg,cat
data\dogs\dog.4987.jpg,dog
data\cats\cat.3672.jpg,cat
data\dogs\dog.3637.jpg,dog
data\dogs\dog.3521.jpg,dog
data\dogs\dog.1763.jpg,dog
data\dogs\dog.9.jpg,dog
data\dogs\dog.1222.jpg,dog
data\cats\cat.3370.jpg,cat
data\dogs\dog.3651.jpg,dog
data\cats\cat.1075.jpg,cat
data\dogs\dog.243.jpg,dog
data\dogs\dog.11.jpg,dog
data\dogs\dog.775.jpg,dog
data\dogs\dog.3020.jpg,dog
data\dogs\dog.384.jpg,dog
data\cats\cat.225.jpg,cat
data\cats\cat.933.jpg,cat
data\cats\cat.3186.jpg,cat
data\cats\cat.2433.jpg,cat
data\dogs\dog.3243.jpg,dog
data\dogs\dog.4796.jpg,dog
data\dogs\dog.573.jpg,dog
data\dogs\dog.179.jpg,dog
data\dogs\dog.2649.jpg,dog
data\dogs\dog.3125.jpg,dog
data\dogs\dog.1729.jpg,dog
data\dogs\dog.845.jpg,dog
data\cats\cat.2744.jpg,cat
data\cats\cat.4850.jpg,cat
data\dogs\dog.4434.jpg,dog
data\cats\cat.4178.jpg,cat
data\cats\cat.2342.jpg,cat
data\dogs\dog.2108.jpg,dog
data\cats\cat.1909.jpg,cat
data\dogs\dog.778.jpg,dog
data\dogs\dog.1401.jpg,dog
data\dogs\dog.3118.jpg,dog
data\cats\cat.2398.jpg,cat
data\cats\cat.1609.jpg,cat
data\cats\cat.4319.jpg,cat
data\cats\cat.841.jpg,cat
data\dogs\dog.3100.jpg,dog
data\dogs\dog.40.jpg,dog
data\cats\cat.4890.jpg,cat
data\dogs\dog.3715.jpg,dog
data\dogs\dog.1840.jpg,dog
data\cats\cat.915.jpg,cat
data\cats\cat.1571.jpg,cat
data\dogs\dog.4200.jpg,dog
data\dogs\dog.2057.jpg,dog
data\dogs\dog.1002.jpg,dog
data\cats\cat.1969.jpg,cat
data\cats\cat.4776.jpg,cat
data\cats\cat.1469.jpg,cat
data\dogs\dog.2254.jpg,dog
data\dogs\dog.170.jpg,dog
data\cats\cat.2644.jpg,cat
data\dogs\dog.4422.jpg,dog
data\cats\cat.2719.jpg,cat
data\cats\cat.96.jpg,cat
data\dogs\dog.4860.jpg,dog
data\cats\cat.2694.jpg,cat
data\cats\cat.2468.jpg,cat
data\cats\cat.2153.jpg,cat
data\cats\cat.4280.jpg,cat
data\dogs\dog.698.jpg,dog
data\cats\cat.3975.jpg,cat
data\cats\cat.717.jpg,cat
data\cats\cat.2685.jpg,cat
data\cats\cat.3713.jpg,cat
data\cats\cat.23.jpg,cat
data\dogs\dog.181.jpg,dog
data\cats\cat.3762.jpg,cat
data\dogs\dog.63.jpg,dog
data\cats\cat.2000.jpg,cat
data\dogs\dog.1906.jpg,dog
data\dogs\dog.4996.jpg,dog
data\cats\cat.117.jpg,cat
data\cats\cat.3127.jpg,cat
data\dogs\dog.4855.jpg,dog
data\dogs\dog.1803.jpg,dog
data\dogs\dog.317.jpg,dog
data\cats\cat.2248.jpg,cat
data\cats\cat.1265.jpg,cat
data\dogs\dog.4052.jpg,dog
data\cats\cat.61.jpg,cat
data\cats\cat.27.jpg,cat
data\cats\cat.543.jpg,cat
data\cats\cat.2101.jpg,cat
data\cats\cat.217.jpg,cat
data\cats\cat.1854.jpg,cat
data\cats\cat.1938.jpg,cat
data\dogs\dog.4767.jpg,dog
data\cats\cat.1120.jpg,cat
data\cats\cat.1989.jpg,cat
data\dogs\dog.4852.jpg,dog
data\dogs\dog.2786.jpg,dog
data\dogs\dog.3656.jpg,dog
data\cats\cat.2933.jpg,cat
data\cats\cat.4678.jpg,cat
data\dogs\dog.4669.jpg,dog
data\dogs\dog.4953.jpg,dog
data\cats\cat.2473.jpg,cat
data\cats\cat.2021.jpg,cat
data\dogs\dog.1052.jpg,dog
data\dogs\dog.374.jpg,dog
data\cats\cat.1485.jpg,cat
data\cats\cat.1553.jpg,cat
data\dogs\dog.4972.jpg,dog
data\cats\cat.3845.jpg,cat
data\dogs\dog.1985.jpg,dog
data\dogs\dog.3031.jpg,dog
data\cats\cat.3534.jpg,cat
data\dogs\dog.2840.jpg,dog
data\cats\cat.4136.jpg,cat
data\cats\cat.4478.jpg,cat
data\cats\cat.823.jpg,cat
data\dogs\dog.4306.jpg,dog
data\cats\cat.4505.jpg,cat
data\cats\cat.1411.jpg,cat
data\dogs\dog.3546.jpg,dog
data\cats\cat.4177.jpg,cat
data\dogs\dog.4212.jpg,dog
data\cats\cat.1960.jpg,cat
data\cats\cat.3289.jpg,cat
data\dogs\dog.4512.jpg,dog
data\dogs\dog.2192.jpg,dog
data\dogs\dog.2416.jpg,dog
data\cats\cat.2679.jpg,cat
data\dogs\dog.3139.jpg,dog
data\dogs\dog.2446.jpg,dog
data\cats\cat.2152.jpg,cat
data\dogs\dog.3576.jpg,dog
data\cats\cat.2029.jpg,cat
data\cats\cat.1694.jpg,cat
data\cats\cat.752.jpg,cat
data\dogs\dog.526.jpg,dog
data\dogs\dog.1455.jpg,dog
data\cats\cat.3591.jpg,cat
data\cats\cat.2850.jpg,cat
data\cats\cat.3843.jpg,cat
data\dogs\dog.3862.jpg,dog
data\dogs\dog.2056.jpg,dog
data\dogs\dog.2042.jpg,dog
data\cats\cat.1144.jpg,cat
data\dogs\dog.1948.jpg,dog
data\cats\cat.1802.jpg,cat
data\dogs\dog.2638.jpg,dog
data\cats\cat.1447.jpg,cat
data\dogs\dog.4517.jpg,dog
data\dogs\dog.3774.jpg,dog
data\cats\cat.2892.jpg,cat
data\dogs\dog.4900.jpg,dog
data\dogs\dog.975.jpg,dog
data\dogs\dog.2985.jpg,dog
data\cats\cat.4142.jpg,cat
data\cats\cat.4346.jpg,cat
data\cats\cat.4061.jpg,cat
data\dogs\dog.4829.jpg,dog
data\dogs\dog.4304.jpg,dog
data\dogs\dog.990.jpg,dog
data\dogs\dog.1110.jpg,dog
data\dogs\dog.3101.jpg,dog
data\cats\cat.4581.jpg,cat
data\cats\cat.2087.jpg,cat
data\cats\cat.2881.jpg,cat
data\cats\cat.3027.jpg,cat
data\cats\cat.327.jpg,cat
data\dogs\dog.2738.jpg,dog
data\dogs\dog.2990.jpg,dog
data\cats\cat.1227.jpg,cat
data\dogs\dog.3585.jpg,dog
data\cats\cat.3226.jpg,cat
data\cats\cat.998.jpg,cat
data\dogs\dog.1569.jpg,dog
data\cats\cat.2187.jpg,cat
data\cats\cat.3742.jpg,cat
data\dogs\dog.3313.jpg,dog
data\dogs\dog.2866.jpg,dog
data\dogs\dog.885.jpg,dog
data\cats\cat.1493.jpg,cat
data\dogs\dog.387.jpg,dog
data\dogs\dog.1599.jpg,dog
data\dogs\dog.3524.jpg,dog
data\dogs\dog.4405.jpg,dog
data\cats\cat.765.jpg,cat
data\cats\cat.1718.jpg,cat
data\dogs\dog.2473.jpg,dog
data\cats\cat.3319.jpg,cat
data\dogs\dog.188.jpg,dog
data\cats\cat.3082.jpg,cat
data\cats\cat.2646.jpg,cat
data\cats\cat.6.jpg,cat
data\cats\cat.488.jpg,cat
data\cats\cat.3273.jpg,cat
data\cats\cat.3359.jpg,cat
data\cats\cat.2146.jpg,cat
data\dogs\dog.796.jpg,dog
data\cats\cat.777.jpg,cat
data\dogs\dog.4868.jpg,dog
data\dogs\dog.4594.jpg,dog
data\cats\cat.3968.jpg,cat
data\cats\cat.1477.jpg,cat
data\dogs\dog.3934.jpg,dog
data\dogs\dog.4530.jpg,dog
data\cats\cat.4040.jpg,cat
data\cats\cat.4755.jpg,cat
data\cats\cat.1756.jpg,cat
data\dogs\dog.1839.jpg,dog
data\dogs\dog.4063.jpg,dog
data\dogs\dog.4254.jpg,dog
data\cats\cat.4791.jpg,cat
data\dogs\dog.1307.jpg,dog
data\dogs\dog.4439.jpg,dog
data\dogs\dog.234.jpg,dog
data\dogs\dog.336.jpg,dog
data\cats\cat.3440.jpg,cat
data\cats\cat.4506.jpg,cat
data\dogs\dog.2921.jpg,dog
data\dogs\dog.4158.jpg,dog
data\dogs\dog.1884.jpg,dog
data\cats\cat.3833.jpg,cat
data\cats\cat.3783.jpg,cat
data\dogs\dog.3038.jpg,dog
data\dogs\dog.1116.jpg,dog
data\cats\cat.3779.jpg,cat
data\dogs\dog.2813.jpg,dog
data\cats\cat.785.jpg,cat
data\cats\cat.1268.jpg,cat
data\cats\cat.459.jpg,cat
data\dogs\dog.3230.jpg,dog
data\cats\cat.2378.jpg,cat
data\cats\cat.199.jpg,cat
data\dogs\dog.3069.jpg,dog
data\cats\cat.2163.jpg,cat
data\dogs\dog.4502.jpg,dog
data\dogs\dog.54.jpg,dog
data\cats\cat.3542.jpg,cat
data\dogs\dog.2182.jpg,dog
data\cats\cat.4601.jpg,cat
data\dogs\dog.146.jpg,dog
data\dogs\dog.3686.jpg,dog
data\dogs\dog.4013.jpg,dog
data\dogs\dog.353.jpg,dog
data\cats\cat.2845.jpg,cat
data\dogs\dog.3653.jpg,dog
data\dogs\dog.2887.jpg,dog
data\cats\cat.4453.jpg,cat
data\cats\cat.3623.jpg,cat
data\cats\cat.1700.jpg,cat
data\dogs\dog.2516.jpg,dog
data\dogs\dog.848.jpg,dog
data\dogs\dog.4978.jpg,dog
data\cats\cat.4700.jpg,cat
data\cats\cat.2609.jpg,cat
data\dogs\dog.4334.jpg,dog
data\cats\cat.4833.jpg,cat
data\cats\cat.1950.jpg,cat
data\dogs\dog.4687.jpg,dog
data\cats\cat.3216.jpg,cat
data\dogs\dog.4297.jpg,dog
data\dogs\dog.3044.jpg,dog
data\cats\cat.1187.jpg,cat
data\cats\cat.1216.jpg,cat
data\cats\cat.285.jpg,cat
data\dogs\dog.139.jpg,dog
data\dogs\dog.299.jpg,dog
data\dogs\dog.4157.jpg,dog
data\dogs\dog.959.jpg,dog
data\cats\cat.4964.jpg,cat
data\cats\cat.1668.jpg,cat
data\dogs\dog.2763.jpg,dog
data\cats\cat.4626.jpg,cat
data\dogs\dog.3201.jpg,dog
data\dogs\dog.1566.jpg,dog
data\dogs\dog.1555.jpg,dog
data\cats\cat.2299.jpg,cat
data\dogs\dog.2188.jpg,dog
data\cats\cat.2712.jpg,cat
data\cats\cat.4900.jpg,cat
data\cats\cat.2917.jpg,cat
data\cats\cat.3578.jpg,cat
data\cats\cat.4351.jpg,cat
data\cats\cat.103.jpg,cat
data\dogs\dog.1301.jpg,dog
data\dogs\dog.3033.jpg,dog
data\dogs\dog.2788.jpg,dog
data\dogs\dog.4398.jpg,dog
data\dogs\dog.4693.jpg,dog
data\cats\cat.1285.jpg,cat
data\cats\cat.3121.jpg,cat
data\dogs\dog.2970.jpg,dog
data\cats\cat.1933.jpg,cat
data\dogs\dog.4348.jpg,dog
data\cats\cat.848.jpg,cat
data\dogs\dog.744.jpg,dog
data\dogs\dog.3369.jpg,dog
data\dogs\dog.3462.jpg,dog
data\cats\cat.395.jpg,cat
data\dogs\dog.3336.jpg,dog
data\dogs\dog.2391.jpg,dog
data\dogs\dog.559.jpg,dog
data\dogs\dog.962.jpg,dog
data\cats\cat.2664.jpg,cat
data\cats\cat.4297.jpg,cat
data\cats\cat.1331.jpg,cat
data\cats\cat.2238.jpg,cat
data\dogs\dog.1466.jpg,dog
data\cats\cat.3418.jpg,cat
data\cats\cat.567.jpg,cat
data\dogs\dog.2590.jpg,dog
data\dogs\dog.365.jpg,dog
data\dogs\dog.4817.jpg,dog
data\dogs\dog.2690.jpg,dog
data\dogs\dog.1858.jpg,dog
data\dogs\dog.2924.jpg,dog
data\dogs\dog.1850.jpg,dog
data\dogs\dog.2943.jpg,dog
data\cats\cat.4235.jpg,cat
data\dogs\dog.1674.jpg,dog
data\dogs\dog.3309.jpg,dog
data\dogs\dog.2892.jpg,dog
data\dogs\dog.4121.jpg,dog
data\dogs\dog.3874.jpg,dog
data\cats\cat.1511.jpg,cat
data\dogs\dog.4441.jpg,dog
data\cats\cat.4483.jpg,cat
data\cats\cat.1439.jpg,cat
data\cats\cat.2341.jpg,cat
data\dogs\dog.2779.jpg,dog
data\cats\cat.347.jpg,cat
data\cats\cat.3774.jpg,cat
data\cats\cat.645.jpg,cat
data\cats\cat.1771.jpg,cat
data\dogs\dog.4504.jpg,dog
data\cats\cat.2090.jpg,cat
data\dogs\dog.847.jpg,dog
data\cats\cat.1892.jpg,cat
data\cats\cat.3624.jpg,cat
data\dogs\dog.333.jpg,dog
data\dogs\dog.1887.jpg,dog
data\cats\cat.155.jpg,cat
data\cats\cat.226.jpg,cat
data\cats\cat.3874.jpg,cat
data\dogs\dog.502.jpg,dog
data\cats\cat.937.jpg,cat
data\cats\cat.2758.jpg,cat
data\cats\cat.10.jpg,cat
data\cats\cat.1149.jpg,cat
data\cats\cat.3368.jpg,cat
data\dogs\dog.1006.jpg,dog
data\dogs\dog.1447.jpg,dog
data\dogs\dog.2938.jpg,dog
data\dogs\dog.4928.jpg,dog
data\cats\cat.2419.jpg,cat
data\cats\cat.4107.jpg,cat
data\cats\cat.566.jpg,cat
data\cats\cat.382.jpg,cat
data\dogs\dog.2544.jpg,dog
data\cats\cat.1296.jpg,cat
data\dogs\dog.1641.jpg,dog
data\cats\cat.1991.jpg,cat
data\cats\cat.3183.jpg,cat
data\dogs\dog.2255.jpg,dog
data\dogs\dog.2498.jpg,dog
data\cats\cat.4313.jpg,cat
data\cats\cat.4240.jpg,cat
data\dogs\dog.1938.jpg,dog
data\dogs\dog.2060.jpg,dog
data\dogs\dog.935.jpg,dog
data\dogs\dog.4694.jpg,dog
data\cats\cat.3479.jpg,cat
data\cats\cat.883.jpg,cat
